ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.02 	 10 	 	 42	0	1244.35	11
 10 	 0.2 	 0.02 	 10 	 	 43	0	837.288	0
 10 	 0.2 	 0.02 	 10 	 	 44	0	1057.37	8
 10 	 0.2 	 0.02 	 10 	 	 45	0	1023.76	3
 10 	 0.2 	 0.02 	 10 	 	 46	0	691.832	3
 10 	 0.2 	 0.02 	 10 	 	 47	0	1212.92	8
 10 	 0.2 	 0.02 	 10 	 	 48	0	1198.34	9
 10 	 0.2 	 0.02 	 10 	 	 49	0	920.583	6
wart srednie: 0.03162	46710	362	

-----------------------
 10 	 0.2 	 0.02 	 20 	 	 0	0.015	2046.32	17
 10 	 0.2 	 0.02 	 20 	 	 1	0	1524.88	6
 10 	 0.2 	 0.02 	 20 	 	 2	0.016	1891.02	17
 10 	 0.2 	 0.02 	 20 	 	 3	0	1265.81	12
 10 	 0.2 	 0.02 	 20 	 	 4	0.016	1593.8	11
 10 	 0.2 	 0.02 	 20 	 	 5	0.015	3205.89	18
 10 	 0.2 	 0.02 	 20 	 	 6	0	1415.82	16
 10 	 0.2 	 0.02 	 20 	 	 7	0.016	3308.69	22
 10 	 0.2 	 0.02 	 20 	 	 8	0	2562.9	20
 10 	 0.2 	 0.02 	 20 	 	 9	0	759.373	9
 10 	 0.2 	 0.02 	 20 	 	 10	0	1906.09	17
 10 	 0.2 	 0.02 	 20 	 	 11	0	2177.27	14
 10 	 0.2 	 0.02 	 20 	 	 12	0	738.038	8
 10 	 0.2 	 0.02 	 20 	 	 13	0	2545.8	8
 10 	 0.2 	 0.02 	 20 	 	 14	0.016	1234.25	13
 10 	 0.2 	 0.02 	 20 	 	 15	0	2158.56	15
 10 	 0.2 	 0.02 	 20 	 	 16	0	1913.42	19
 10 	 0.2 	 0.02 	 20 	 	 17	0	1820.31	21
 10 	 0.2 	 0.02 	 20 	 	 18	0	1572.87	17
 10 	 0.2 	 0.02 	 20 	 	 19	0.016	1685.82	12
 10 	 0.2 	 0.02 	 20 	 	 20	0	2084.04	17
 10 	 0.2 	 0.02 	 20 	 	 21	0	1596.11	13
 10 	 0.2 	 0.02 	 20 	 	 22	0.016	1251.42	15
 10 	 0.2 	 0.02 	 20 	 	 23	0	1834.43	13
 10 	 0.2 	 0.02 	 20 	 	 24	0	1334.59	15
 10 	 0.2 	 0.02 	 20 	 	 25	0	1519.73	15
 10 	 0.2 	 0.02 	 20 	 	 26	0	1822	17
 10 	 0.2 	 0.02 	 20 	 	 27	0	1629.22	9
 10 	 0.2 	 0.02 	 20 	 	 28	0	1673.48	19
 10 	 0.2 	 0.02 	 20 	 	 29	0	1596.9	18
 10 	 0.2 	 0.02 	 20 	 	 30	0	1963.22	13
 10 	 0.2 	 0.02 	 20 	 	 31	0	1775.23	3
 10 	 0.2 	 0.02 	 20 	 	 32	0	1719.31	13
 10 	 0.2 	 0.02 	 20 	 	 33	0	1556.78	18
 10 	 0.2 	 0.02 	 20 	 	 34	0	1962.52	19
 10 	 0.2 	 0.02 	 20 	 	 35	0	1216.52	11
 10 	 0.2 	 0.02 	 20 	 	 36	0	1689.77	13
 10 	 0.2 	 0.02 	 20 	 	 37	0.016	1532.2	14
 10 	 0.2 	 0.02 	 20 	 	 38	0	709.316	11
 10 	 0.2 	 0.02 	 20 	 	 39	0	2100.95	16
 10 	 0.2 	 0.02 	 20 	 	 40	0.015	2101.05	13
 10 	 0.2 	 0.02 	 20 	 	 41	0	1248.68	13
 10 	 0.2 	 0.02 	 20 	 	 42	0	2545.67	10
 10 	 0.2 	 0.02 	 20 	 	 43	0	1774.79	8
 10 	 0.2 	 0.02 	 20 	 	 44	0	1842.69	15
 10 	 0.2 	 0.02 	 20 	 	 45	0	1023.79	14
 10 	 0.2 	 0.02 	 20 	 	 46	0.016	1798.55	6
 10 	 0.2 	 0.02 	 20 	 	 47	0	1394.02	17
 10 	 0.2 	 0.02 	 20 	 	 48	0	1282.61	17
 10 	 0.2 	 0.02 	 20 	 	 49	0.015	2847.03	10
wart srednie: 0.19176	89483	710	

-----------------------
 10 	 0.2 	 0.02 	 30 	 	 0	0	2306.17	12
 10 	 0.2 	 0.02 	 30 	 	 1	0.047	5145.98	26
 10 	 0.2 	 0.02 	 30 	 	 2	0.016	2324.36	23
 10 	 0.2 	 0.02 	 30 	 	 3	0.015	3676.16	16
 10 	 0.2 	 0.02 	 30 	 	 4	0	1993.27	8
 10 	 0.2 	 0.02 	 30 	 	 5	0.016	3461.76	21
 10 	 0.2 	 0.02 	 30 	 	 6	0	1548.57	15
 10 	 0.2 	 0.02 	 30 	 	 7	0.016	4188.86	16
 10 	 0.2 	 0.02 	 30 	 	 8	0.015	2445.36	20
 10 	 0.2 	 0.02 	 30 	 	 9	0.032	3392.82	34
 10 	 0.2 	 0.02 	 30 	 	 10	0.015	2835.68	16
 10 	 0.2 	 0.02 	 30 	 	 11	0.016	1621	8
 10 	 0.2 	 0.02 	 30 	 	 12	0.015	3287.44	28
 10 	 0.2 	 0.02 	 30 	 	 13	0.016	2136.05	18
 10 	 0.2 	 0.02 	 30 	 	 14	0.016	1986.55	24
 10 	 0.2 	 0.02 	 30 	 	 15	0	2411.92	4
 10 	 0.2 	 0.02 	 30 	 	 16	0.015	2520.24	22
 10 	 0.2 	 0.02 	 30 	 	 17	0.016	2067.9	19
 10 	 0.2 	 0.02 	 30 	 	 18	0.016	4935.78	26
 10 	 0.2 	 0.02 	 30 	 	 19	0.015	2162.28	20
 10 	 0.2 	 0.02 	 30 	 	 20	0	2269.34	24
 10 	 0.2 	 0.02 	 30 	 	 21	0.015	1954.91	26
 10 	 0.2 	 0.02 	 30 	 	 22	0.016	2343.49	21
 10 	 0.2 	 0.02 	 30 	 	 23	0.016	2625.33	29
 10 	 0.2 	 0.02 	 30 	 	 24	0	1537.38	13
 10 	 0.2 	 0.02 	 30 	 	 25	0.015	4515.37	24
 10 	 0.2 	 0.02 	 30 	 	 26	0.016	2762.38	17
 10 	 0.2 	 0.02 	 30 	 	 27	0.016	2483.59	23
