ilosc 	 alpha 	 beta 	 pj_max 	 inst 	 time 	 wynik 	 regeneracja
 10 	 0.2 	 0.02 	 20 	 44	0.047	1842.69	15
 10 	 0.2 	 0.02 	 20 	 45	0.031	1023.79	14
 10 	 0.2 	 0.02 	 20 	 46	0.016	1798.55	6
 10 	 0.2 	 0.02 	 20 	 47	0.047	1394.02	17
 10 	 0.2 	 0.02 	 20 	 48	0.031	1282.61	17
 10 	 0.2 	 0.02 	 20 	 49	0.047	2847.03	10

-----------------------
 10 	 0.2 	 0.02 	 30 	 0	0.031	2306.17	12
 10 	 0.2 	 0.02 	 30 	 1	0.547	5145.98	26
 10 	 0.2 	 0.02 	 30 	 2	0.109	2324.36	23
 10 	 0.2 	 0.02 	 30 	 3	0.25	3676.16	16
 10 	 0.2 	 0.02 	 30 	 4	0.063	1993.27	8
 10 	 0.2 	 0.02 	 30 	 5	0.093	3461.76	21
 10 	 0.2 	 0.02 	 30 	 6	0.047	1548.57	15
 10 	 0.2 	 0.02 	 30 	 7	0.157	4188.86	16
 10 	 0.2 	 0.02 	 30 	 8	0.109	2445.36	20
 10 	 0.2 	 0.02 	 30 	 9	0.375	3392.82	34
 10 	 0.2 	 0.02 	 30 	 10	0.328	2835.68	16
 10 	 0.2 	 0.02 	 30 	 11	0.125	1621	8
 10 	 0.2 	 0.02 	 30 	 12	0.234	3287.44	28
 10 	 0.2 	 0.02 	 30 	 13	0.079	2136.05	18
 10 	 0.2 	 0.02 	 30 	 14	0.156	1986.55	24
 10 	 0.2 	 0.02 	 30 	 15	0.094	2411.92	4
 10 	 0.2 	 0.02 	 30 	 16	0.125	2520.24	22
 10 	 0.2 	 0.02 	 30 	 17	0.078	2067.9	19
 10 	 0.2 	 0.02 	 30 	 18	0.25	4935.78	26
 10 	 0.2 	 0.02 	 30 	 19	0.094	2162.28	20

-----------------------

-----------------------
 10 	 0.2 	 0.05 	 10 	 0	0.015	626.355	6
 10 	 0.2 	 0.05 	 10 	 1	0	890.686	5
 10 	 0.2 	 0.05 	 10 	 2	0.016	850.587	5
 10 	 0.2 	 0.05 	 10 	 3	0	1032.98	8
 10 	 0.2 	 0.05 	 10 	 4	0.016	652.709	3
 10 	 0.2 	 0.05 	 10 	 5	0	1196.04	5
 10 	 0.2 	 0.05 	 10 	 6	0.015	611.632	4
 10 	 0.2 	 0.05 	 10 	 7	0	440.788	1
 10 	 0.2 	 0.05 	 10 	 8	0	760.055	8
 10 	 0.2 	 0.05 	 10 	 9	0	1252.4	5
 10 	 0.2 	 0.05 	 10 	 10	0.015	1201.66	9
 10 	 0.2 	 0.05 	 10 	 11	0.016	1139.67	7
 10 	 0.2 	 0.05 	 10 	 12	0	870.389	3
 10 	 0.2 	 0.05 	 10 	 13	0.016	398.858	5
 10 	 0.2 	 0.05 	 10 	 14	0	835.194	7
 10 	 0.2 	 0.05 	 10 	 15	0	1173.37	4
 10 	 0.2 	 0.05 	 10 	 16	0	1164.06	9
 10 	 0.2 	 0.05 	 10 	 17	0.016	1215.87	6
 10 	 0.2 	 0.05 	 10 	 18	0	956.237	7
 10 	 0.2 	 0.05 	 10 	 19	0	971.047	2

-----------------------
 10 	 0.2 	 0.05 	 20 	 0	0.031	2479.23	16
 10 	 0.2 	 0.05 	 20 	 1	0.016	1749.34	12
 10 	 0.2 	 0.05 	 20 	 2	0.031	1854.9	14
 10 	 0.2 	 0.05 	 20 	 3	0.032	1461.26	12
 10 	 0.2 	 0.05 	 20 	 4	0.015	1315.18	13
 10 	 0.2 	 0.05 	 20 	 5	0.016	1216.32	11
 10 	 0.2 	 0.05 	 20 	 6	0.031	1516.68	13
 10 	 0.2 	 0.05 	 20 	 7	0.031	1856.56	14
 10 	 0.2 	 0.05 	 20 	 8	0.016	2227.98	13
 10 	 0.2 	 0.05 	 20 	 9	0.016	1705.7	11
 10 	 0.2 	 0.05 	 20 	 10	0.015	1884.58	11
 10 	 0.2 	 0.05 	 20 	 11	0.031	2173.54	14
 10 	 0.2 	 0.05 	 20 	 12	0.016	1357.24	10
 10 	 0.2 	 0.05 	 20 	 13	0.063	1959.31	13
 10 	 0.2 	 0.05 	 20 	 14	0.015	1389.11	10
 10 	 0.2 	 0.05 	 20 	 15	0.047	2346.9	14
 10 	 0.2 	 0.05 	 20 	 16	0.016	2172.94	13
 10 	 0.2 	 0.05 	 20 	 17	0.047	2151.71	19
 10 	 0.2 	 0.05 	 20 	 18	0.016	1459.52	11
 10 	 0.2 	 0.05 	 20 	 19	0.062	2944.67	13

-----------------------
 10 	 0.2 	 0.05 	 30 	 0	0.172	4474.83	14
 10 	 0.2 	 0.05 	 30 	 1	0.063	2239.34	13
 10 	 0.2 	 0.05 	 30 	 2	0.093	3197.4	16
 10 	 0.2 	 0.05 	 30 	 3	0.079	4172.52	20
 10 	 0.2 	 0.05 	 30 	 4	0.046	3204.66	16
 10 	 0.2 	 0.05 	 30 	 5	0.063	2306.23	14
 10 	 0.2 	 0.05 	 30 	 6	0.047	1991.9	16
 10 	 0.2 	 0.05 	 30 	 7	0.188	4148.92	24
 10 	 0.2 	 0.05 	 30 	 8	0.094	1759.92	7
 10 	 0.2 	 0.05 	 30 	 9	0.078	2440.72	13
 10 	 0.2 	 0.05 	 30 	 10	0.125	2689.65	23
 10 	 0.2 	 0.05 	 30 	 11	0.079	2348.3	17
 10 	 0.2 	 0.05 	 30 	 12	0.046	1826.11	16
 10 	 0.2 	 0.05 	 30 	 13	0.063	2179.47	14
 10 	 0.2 	 0.05 	 30 	 14	0.375	3734.79	24
 10 	 0.2 	 0.05 	 30 	 15	0.156	3400.13	17
 10 	 0.2 	 0.05 	 30 	 16	0.047	1551.46	16
 10 	 0.2 	 0.05 	 30 	 17	0.062	2359.57	14
 10 	 0.2 	 0.05 	 30 	 18	0.125	3371.27	14
 10 	 0.2 	 0.05 	 30 	 19	0.188	3422.79	24

-----------------------

-----------------------
 10 	 0.2 	 0.1 	 10 	 0	0.015	906.267	3
 10 	 0.2 	 0.1 	 10 	 1	0	1349.2	5
 10 	 0.2 	 0.1 	 10 	 2	0	1398.92	4
 10 	 0.2 	 0.1 	 10 	 3	0	1216.83	5
 10 	 0.2 	 0.1 	 10 	 4	0	1626.7	7
 10 	 0.2 	 0.1 	 10 	 5	0	1269.37	5
 10 	 0.2 	 0.1 	 10 	 6	0.016	701.909	2
 10 	 0.2 	 0.1 	 10 	 7	0	761.81	2
 10 	 0.2 	 0.1 	 10 	 8	0	1109.81	6
 10 	 0.2 	 0.1 	 10 	 9	0	1155.26	5
 10 	 0.2 	 0.1 	 10 	 10	0	1062.87	2
 10 	 0.2 	 0.1 	 10 	 11	0	1198.02	3
 10 	 0.2 	 0.1 	 10 	 12	0	847.148	4
 10 	 0.2 	 0.1 	 10 	 13	0	1090.79	3
 10 	 0.2 	 0.1 	 10 	 14	0	586.673	2
 10 	 0.2 	 0.1 	 10 	 15	0	1311.14	6
 10 	 0.2 	 0.1 	 10 	 16	0.015	1539.51	6
 10 	 0.2 	 0.1 	 10 	 17	0	857.134	4
 10 	 0.2 	 0.1 	 10 	 18	0	1563.8	4
 10 	 0.2 	 0.1 	 10 	 19	0.016	761.821	5

-----------------------
 10 	 0.2 	 0.1 	 20 	 0	0.016	2284.01	3
 10 	 0.2 	 0.1 	 20 	 1	0.015	2062.95	6
 10 	 0.2 	 0.1 	 20 	 2	0.016	3725.86	11
 10 	 0.2 	 0.1 	 20 	 3	0.016	2247.28	7
 10 	 0.2 	 0.1 	 20 	 4	0.031	2840.66	6
 10 	 0.2 	 0.1 	 20 	 5	0.015	2800.08	12
 10 	 0.2 	 0.1 	 20 	 6	0.016	3210.78	8
 10 	 0.2 	 0.1 	 20 	 7	0.016	1827.38	11
 10 	 0.2 	 0.1 	 20 	 8	0.015	1683.49	5
 10 	 0.2 	 0.1 	 20 	 9	0.016	2925.15	7
 10 	 0.2 	 0.1 	 20 	 10	0	933.341	7
 10 	 0.2 	 0.1 	 20 	 11	0.016	2268.07	7
 10 	 0.2 	 0.1 	 20 	 12	0.015	3274.84	12
 10 	 0.2 	 0.1 	 20 	 13	0.016	1227.72	3
 10 	 0.2 	 0.1 	 20 	 14	0.015	2272.48	10
